Date,Mid
4/23/21,1.20938
4/22/21,1.20139
4/21/21,1.20343
4/20/21,1.20342
4/19/21,1.20367
4/16/21,1.19805
4/15/21,1.19655
4/14/21,1.19784
4/13/21,1.19474
4/12/21,1.19099
4/9/21,1.18977
4/8/21,1.19124
4/7/21,1.18657
4/6/21,1.1874
4/5/21,1.18125
4/2/21,1.17603
4/1/21,1.17759
3/31/21,1.17298
3/30/21,1.17169
3/29/21,1.17642
3/26/21,1.17918
3/25/21,1.17635
3/24/21,1.1812
3/23/21,1.18492
3/22/21,1.19323
3/19/21,1.19031
3/18/21,1.19132
3/17/21,1.19779
3/16/21,1.19017
3/15/21,1.19286
3/12/21,1.19476
3/11/21,1.19844
3/10/21,1.19284
3/9/21,1.19001
3/8/21,1.1846
3/5/21,1.19128
3/4/21,1.19692
3/3/21,1.20627
3/2/21,1.20898
3/1/21,1.20488
2/26/21,1.20704
2/25/21,1.2174
2/24/21,1.21664
2/23/21,1.21493
2/22/21,1.21551
2/19/21,1.21167
2/18/21,1.20908
2/17/21,1.20372
2/16/21,1.21053
2/15/21,1.21274
2/12/21,1.21177
2/11/21,1.21303
2/10/21,1.21172
2/9/21,1.21172
2/8/21,1.20482
2/5/21,1.20481
2/4/21,1.1962
2/3/21,1.20351
2/2/21,1.20428
2/1/21,1.20594
1/29/21,1.21298
1/28/21,1.21201
1/27/21,1.21096
1/26/21,1.21597
1/25/21,1.21363
1/22/21,1.21667
1/21/21,1.2164
1/20/21,1.21044
1/19/21,1.21284
1/18/21,1.20749
1/15/21,1.20748
1/14/21,1.2153
1/13/21,1.21568
1/12/21,1.22062
1/11/21,1.21496
1/8/21,1.22174
1/7/21,1.2271
1/6/21,1.23239
1/5/21,1.22957
1/4/21,1.22473
1/1/21,1.22141
12/31/20,1.22141
12/30/20,1.22952
12/29/20,1.22478
12/28/20,1.2216
12/25/20,1.21922
12/24/20,1.21844
12/23/20,1.2185
12/22/20,1.2161
12/21/20,1.22432
12/18/20,1.22559
12/17/20,1.22656
12/16/20,1.21985
12/15/20,1.21505
12/14/20,1.21432
12/11/20,1.21086
12/10/20,1.21398
12/9/20,1.20799
12/8/20,1.21022
12/7/20,1.21091
12/4/20,1.21202
12/3/20,1.21454
12/2/20,1.21132
12/1/20,1.20692
11/30/20,1.19256
11/27/20,1.1962
11/26/20,1.19127
11/25/20,1.19157
11/24/20,1.18905
11/23/20,1.18399
11/20/20,1.18544
11/19/20,1.18745
11/18/20,1.18526
11/17/20,1.18612
11/16/20,1.18516
11/13/20,1.1831
11/12/20,1.18041
11/11/20,1.17771
11/10/20,1.18127
11/9/20,1.18127
11/6/20,1.187
11/5/20,1.18268
11/4/20,1.17244
11/3/20,1.1715
11/2/20,1.16404
10/30/20,1.16431
10/29/20,1.16731
10/28/20,1.17457
10/27/20,1.1795
10/26/20,1.18086
10/23/20,1.18572
10/22/20,1.18177
10/21/20,1.18598
10/20/20,1.18211
10/19/20,1.17695
10/16/20,1.17132
10/15/20,1.17073
10/14/20,1.17452
10/13/20,1.1744
10/12/20,1.1812
10/9/20,1.18248
10/8/20,1.17582
10/7/20,1.17604
10/6/20,1.17334
10/5/20,1.17825
10/2/20,1.17157
10/1/20,1.1746
9/30/20,1.1721
9/29/20,1.17426
9/28/20,1.1665
9/25/20,1.16277
