Date,Mid
4/23/21,1.38736
4/22/21,1.38381
4/21/21,1.39271
4/20/21,1.39371
4/19/21,1.39846
4/16/21,1.38261
4/15/21,1.37829
4/14/21,1.37773
4/13/21,1.37507
4/12/21,1.37387
4/9/21,1.37054
4/8/21,1.37325
4/7/21,1.37371
4/6/21,1.38224
4/5/21,1.3897
4/2/21,1.38272
4/1/21,1.38314
3/31/21,1.37791
3/30/21,1.3739
3/29/21,1.37601
3/26/21,1.37855
3/25/21,1.37314
3/24/21,1.36863
3/23/21,1.37474
3/22/21,1.38623
3/19/21,1.38662
3/18/21,1.39277
3/17/21,1.39627
3/16/21,1.38896
3/15/21,1.38998
3/12/21,1.39129
3/11/21,1.39891
3/10/21,1.39332
3/9/21,1.38866
3/8/21,1.38183
3/5/21,1.38357
3/4/21,1.38938
3/3/21,1.39486
3/2/21,1.39516
3/1/21,1.39247
2/26/21,1.39244
2/25/21,1.40046
2/24/21,1.41389
2/23/21,1.41126
2/22/21,1.40608
2/19/21,1.40059
2/18/21,1.39725
2/17/21,1.3859
2/16/21,1.39021
2/15/21,1.38988
2/12/21,1.38497
2/11/21,1.38143
2/10/21,1.38303
2/9/21,1.38154
2/8/21,1.37379
2/5/21,1.37291
2/4/21,1.36715
2/3/21,1.36435
2/2/21,1.36669
2/1/21,1.36588
1/29/21,1.37023
1/28/21,1.37181
1/27/21,1.36846
1/26/21,1.3736
1/25/21,1.36743
1/22/21,1.36784
1/21/21,1.37304
1/20/21,1.36497
1/19/21,1.36289
1/18/21,1.35852
1/15/21,1.35769
1/14/21,1.36861
1/13/21,1.36336
1/12/21,1.36628
1/11/21,1.35102
1/8/21,1.35621
1/7/21,1.35611
1/6/21,1.36078
1/5/21,1.36259
1/4/21,1.35664
1/1/21,1.3663
12/31/20,1.3663
12/30/20,1.3623
12/29/20,1.34988
12/28/20,1.34489
12/25/20,1.35408
12/24/20,1.35532
12/23/20,1.34904
12/22/20,1.33586
12/21/20,1.34608
12/18/20,1.35142
12/17/20,1.35832
12/16/20,1.35081
12/15/20,1.34575
12/14/20,1.33288
12/11/20,1.32203
12/10/20,1.32909
12/9/20,1.34003
12/8/20,1.33575
12/7/20,1.33789
12/4/20,1.34332
12/3/20,1.34505
12/2/20,1.33637
12/1/20,1.34179
11/30/20,1.33214
11/27/20,1.33068
11/26/20,1.33566
11/25/20,1.3386
11/24/20,1.33586
11/23/20,1.33244
11/20/20,1.32817
11/19/20,1.32596
11/18/20,1.32709
11/17/20,1.32449
11/16/20,1.31964
11/13/20,1.31983
11/12/20,1.31144
11/11/20,1.32204
11/10/20,1.32692
11/9/20,1.31627
11/6/20,1.31477
11/5/20,1.31451
11/4/20,1.29854
11/3/20,1.30528
11/2/20,1.29154
10/30/20,1.29472
10/29/20,1.29233
10/28/20,1.29825
10/27/20,1.30431
10/26/20,1.30227
10/23/20,1.30391
10/22/20,1.30782
10/21/20,1.31453
10/20/20,1.29469
10/19/20,1.29387
10/16/20,1.29082
10/15/20,1.29022
10/14/20,1.30114
10/13/20,1.29348
10/12/20,1.3062
10/9/20,1.30433
10/8/20,1.2936
10/7/20,1.29133
10/6/20,1.28671
10/5/20,1.29757
10/2/20,1.29274
10/1/20,1.28835
9/30/20,1.29138
9/29/20,1.28568
9/28/20,1.28301
9/25/20,1.27395
9/24/20,1.27384
9/23/20,1.27215
9/22/20,1.27287
9/21/20,1.28155
9/18/20,1.29143
9/17/20,1.29725
9/16/20,1.29662
9/15/20,1.28885
9/14/20,1.28458
9/11/20,1.27942
9/10/20,1.28035
9/9/20,1.30016
9/8/20,1.29801
9/7/20,1.31576
9/4/20,1.32782
9/3/20,1.32801
9/2/20,1.33505
9/1/20,1.33825
8/31/20,1.33676
8/28/20,1.33488
8/27/20,1.31987
8/26/20,1.32084
8/25/20,1.31505
8/24/20,1.30625
8/21/20,1.30881
8/20/20,1.32129
8/19/20,1.30971
8/18/20,1.32376
8/17/20,1.31034
8/14/20,1.30829
8/13/20,1.30659
8/12/20,1.30326
8/11/20,1.30471
8/10/20,1.30709
8/7/20,1.30509
8/6/20,1.31422
8/5/20,1.31129
8/4/20,1.30712
8/3/20,1.30744
7/31/20,1.30836
7/30/20,1.30942
7/29/20,1.2996
7/28/20,1.29304
7/27/20,1.28806
7/24/20,1.27926
7/23/20,1.27399
7/22/20,1.2733
7/21/20,1.27302
7/20/20,1.26609
7/17/20,1.25654
7/16/20,1.25523
7/15/20,1.25863
7/14/20,1.25521
7/13/20,1.25536
7/10/20,1.26202
7/9/20,1.26055
7/8/20,1.26085
7/7/20,1.25399
7/6/20,1.24917
7/3/20,1.24798
7/2/20,1.2467
7/1/20,1.24739
6/30/20,1.24
6/29/20,1.22976
6/26/20,1.23343
6/25/20,1.24173
6/24/20,1.24169
6/23/20,1.25187
6/22/20,1.24673
6/19/20,1.23476
6/18/20,1.2423
6/17/20,1.25547
6/16/20,1.25712
6/15/20,1.26046
6/12/20,1.25396
6/11/20,1.26013
6/10/20,1.27463
6/9/20,1.27271
6/8/20,1.27218
6/5/20,1.26656
6/4/20,1.25958
6/3/20,1.25734
6/2/20,1.25495
6/1/20,1.24887
5/29/20,1.23454
5/28/20,1.23188
5/27/20,1.22591
5/26/20,1.23328
5/25/20,1.2188
5/22/20,1.21665
5/21/20,1.22193
5/20/20,1.2237
5/19/20,1.2251
5/18/20,1.21936
5/15/20,1.21003
5/14/20,1.22247
5/13/20,1.22289
5/12/20,1.22579
5/11/20,1.23329
5/8/20,1.24033
5/7/20,1.23543
5/6/20,1.23414
5/5/20,1.24329
5/4/20,1.24422
5/1/20,1.24869
4/30/20,1.25915
4/29/20,1.24697
4/28/20,1.24227
4/27/20,1.24284
4/24/20,1.23654
