Date,Mid
4/23/21,0.91348
4/22/21,0.91651
4/21/21,0.91639
4/20/21,0.91561
4/19/21,0.91479
4/16/21,0.91972
4/15/21,0.92219
4/14/21,0.92236
4/13/21,0.92051
4/12/21,0.92207
4/9/21,0.92322
4/8/21,0.92358
4/7/21,0.92949
4/6/21,0.93078
4/5/21,0.93615
4/2/21,0.94176
4/1/21,0.94156
3/31/21,0.94354
3/30/21,0.94201
3/29/21,0.93887
3/26/21,0.93885
3/25/21,0.9396
3/24/21,0.93554
3/23/21,0.93391
3/22/21,0.9232
3/19/21,0.92843
3/18/21,0.92712
3/17/21,0.92249
3/16/21,0.9246
3/15/21,0.92723
3/12/21,0.92919
3/11/21,0.92408
3/10/21,0.92953
3/9/21,0.92758
3/8/21,0.93616
3/5/21,0.93029
3/4/21,0.92861
3/3/21,0.91974
3/2/21,0.91434
3/1/21,0.91483
2/26/21,0.90824
2/25/21,0.90462
2/24/21,0.90637
2/23/21,0.90485
2/22/21,0.89553
2/19/21,0.89612
2/18/21,0.89569
2/17/21,0.89843
2/16/21,0.89221
2/15/21,0.8897
2/12/21,0.89102
2/11/21,0.89003
2/10/21,0.8899
2/9/21,0.89227
2/8/21,0.89851
2/5/21,0.89841
2/4/21,0.90401
2/3/21,0.89879
2/2/21,0.89716
2/1/21,0.89675
1/29/21,0.89003
1/28/21,0.88864
1/27/21,0.88873
1/26/21,0.88661
1/25/21,0.88803
1/22/21,0.88506
1/21/21,0.88483
1/20/21,0.88918
1/19/21,0.8882
1/18/21,0.89045
1/15/21,0.89037
1/14/21,0.88816
1/13/21,0.88753
1/12/21,0.88615
1/11/21,0.89017
1/8/21,0.88495
1/7/21,0.88492
1/6/21,0.87825
1/5/21,0.87824
1/4/21,0.88112
1/1/21,0.88468
12/31/20,0.88468
12/30/20,0.88118
12/29/20,0.88389
12/28/20,0.88889
12/25/20,0.88877
12/24/20,0.89037
12/23/20,0.88795
12/22/20,0.88937
12/21/20,0.88547
12/18/20,0.88235
12/17/20,0.88432
12/16/20,0.88519
12/15/20,0.88552
12/14/20,0.88663
12/11/20,0.88947
12/10/20,0.88596
12/9/20,0.88931
12/8/20,0.88881
12/7/20,0.89026
12/4/20,0.89168
12/3/20,0.89054
12/2/20,0.89453
12/1/20,0.89969
11/30/20,0.90855
11/27/20,0.90389
11/26/20,0.90604
11/25/20,0.90818
11/24/20,0.91112
11/23/20,0.91277
11/20/20,0.91054
11/19/20,0.91045
11/18/20,0.91138
11/17/20,0.91155
11/16/20,0.91238
11/13/20,0.91232
11/12/20,0.91488
11/11/20,0.91681
11/10/20,0.91529
11/9/20,0.91348
11/6/20,0.8993
11/5/20,0.90363
11/4/20,0.91161
11/3/20,0.91272
11/2/20,0.91844
10/30/20,0.91683
10/29/20,0.91442
10/28/20,0.91036
10/27/20,0.90849
10/26/20,0.90774
10/23/20,0.90418
10/22/20,0.90701
10/21/20,0.90531
10/20/20,0.90698
10/19/20,0.90964
10/16/20,0.91428
10/15/20,0.91479
10/14/20,0.91386
10/13/20,0.91491
10/12/20,0.90865
10/9/20,0.90936
10/8/20,0.91693
10/7/20,0.91725
10/6/20,0.91773
10/5/20,0.91494
10/2/20,0.91992
10/1/20,0.91856
9/30/20,0.92076
9/29/20,0.91935
9/28/20,0.92386
9/25/20,0.92772
9/24/20,0.92659
9/23/20,0.92377
9/22/20,0.91972
9/21/20,0.91442
9/18/20,0.91137
9/17/20,0.90814
9/16/20,0.90933
9/15/20,0.90803
9/14/20,0.9082
9/11/20,0.90866
9/10/20,0.9105
9/9/20,0.91234
9/8/20,0.91766
9/7/20,0.91594
9/4/20,0.91321
9/3/20,0.90934
9/2/20,0.91058
9/1/20,0.90927
8/31/20,0.90363
8/28/20,0.90404
8/27/20,0.90894
8/26/20,0.90814
8/25/20,0.90766
8/24/20,0.91179
8/21/20,0.91146
8/20/20,0.9076
8/19/20,0.91495
8/18/20,0.90368
8/17/20,0.90654
8/14/20,0.90892
8/13/20,0.90966
8/12/20,0.91196
8/11/20,0.9167
8/10/20,0.91553
8/7/20,0.9122
8/6/20,0.9097
8/5/20,0.90834
8/4/20,0.91324
8/3/20,0.91768
7/31/20,0.91307
7/30/20,0.90885
7/29/20,0.9125
7/28/20,0.91782
7/27/20,0.91985
7/24/20,0.92039
7/23/20,0.92535
7/22/20,0.92955
7/21/20,0.93309
7/20/20,0.93886
7/17/20,0.93845
7/16/20,0.94541
7/15/20,0.9443
7/14/20,0.93987
7/13/20,0.94151
7/10/20,0.94105
7/9/20,0.94005
7/8/20,0.93822
7/7/20,0.94239
7/6/20,0.94214
7/3/20,0.94387
7/2/20,0.94523
7/1/20,0.94572
6/30/20,0.94713
6/29/20,0.95106
6/26/20,0.94785
6/25/20,0.9484
6/24/20,0.94784
6/23/20,0.94469
6/22/20,0.94777
6/19/20,0.95216
6/18/20,0.95135
6/17/20,0.94854
6/16/20,0.95119
6/15/20,0.94904
6/12/20,0.95226
6/11/20,0.94401
6/10/20,0.94377
6/9/20,0.95074
6/8/20,0.95751
6/5/20,0.96214
6/4/20,0.95543
6/3/20,0.96113
6/2/20,0.96218
6/1/20,0.96076
5/29/20,0.96048
5/28/20,0.96422
5/27/20,0.96826
5/26/20,0.96542
5/25/20,0.97169
5/22/20,0.97095
5/21/20,0.97027
5/20/20,0.9646
5/19/20,0.97115
5/18/20,0.97108
5/15/20,0.97129
5/14/20,0.97292
5/13/20,0.97192
5/12/20,0.96921
5/11/20,0.97279
5/8/20,0.97034
5/7/20,0.9729
5/6/20,0.97484
5/5/20,0.97183
5/4/20,0.96531
5/1/20,0.96105
4/30/20,0.96519
4/29/20,0.97326
4/28/20,0.97496
4/27/20,0.97523
4/24/20,0.97253
4/23/20,0.97592
4/22/20,0.97136
4/21/20,0.96923
4/20/20,0.96782
4/17/20,0.96633
4/16/20,0.97013
4/15/20,0.96435
4/14/20,0.96006
4/13/20,0.96663
4/10/20,0.96489
4/9/20,0.96614
4/8/20,0.97127
4/7/20,0.96954
4/6/20,0.97862
4/3/20,0.9755
4/2/20,0.97343
4/1/20,0.96541
3/31/20,0.96094
3/30/20,0.95826
3/27/20,0.95005
3/26/20,0.96253
3/25/20,0.97661
3/24/20,0.98134
3/23/20,0.98426
3/20/20,0.98523
3/19/20,0.98572
3/18/20,0.96773
3/17/20,0.96111
3/16/20,0.94673
3/13/20,0.95009
3/12/20,0.94341
3/11/20,0.93778
3/10/20,0.93967
3/9/20,0.92511
3/6/20,0.93698
