Date,Mid
4/23/21,107.864
4/22/21,107.962
4/21/21,108.069
4/20/21,108.101
4/19/21,108.153
4/16/21,108.75
4/15/21,108.762
4/14/21,108.916
4/13/21,109.059
4/12/21,109.378
4/9/21,109.65
4/8/21,109.27
4/7/21,109.849
4/6/21,109.743
4/5/21,110.173
4/2/21,110.638
4/1/21,110.604
3/31/21,110.703
3/30/21,110.351
3/29/21,109.803
3/26/21,109.613
3/25/21,109.183
3/24/21,108.73
3/23/21,108.579
3/22/21,108.84
3/19/21,108.837
3/18/21,108.88
3/17/21,108.834
3/16/21,108.992
3/15/21,109.126
3/12/21,108.999
3/11/21,108.499
3/10/21,108.372
3/9/21,108.477
3/8/21,108.866
3/5/21,108.329
3/4/21,107.972
3/3/21,107.002
3/2/21,106.684
3/1/21,106.757
2/26/21,106.509
2/25/21,106.199
2/24/21,105.873
2/23/21,105.249
2/22/21,105.071
2/19/21,105.386
2/18/21,105.702
2/17/21,105.861
2/16/21,106.038
2/15/21,105.368
2/12/21,104.909
2/11/21,104.743
2/10/21,104.588
2/9/21,104.563
2/8/21,105.208
2/5/21,105.319
2/4/21,105.52
2/3/21,105.029
2/2/21,104.969
2/1/21,104.926
1/29/21,104.638
1/28/21,104.229
1/27/21,104.078
1/26/21,103.612
1/25/21,103.745
1/22/21,103.727
1/21/21,103.496
1/20/21,103.538
1/19/21,103.899
1/18/21,103.684
1/15/21,103.75
1/14/21,103.799
1/13/21,103.878
1/12/21,103.753
1/11/21,104.255
1/8/21,103.885
1/7/21,103.794
1/6/21,103.036
1/5/21,102.708
1/4/21,103.126
1/1/21,103.259
12/31/20,103.259
12/30/20,103.183
12/29/20,103.568
12/28/20,103.778
12/25/20,103.423
12/24/20,103.625
12/23/20,103.545
12/22/20,103.639
12/21/20,103.32
12/18/20,103.281
12/17/20,103.092
12/16/20,103.463
12/15/20,103.675
12/14/20,104.033
12/11/20,103.996
12/10/20,104.245
12/9/20,104.225
12/8/20,104.161
12/7/20,104.05
12/4/20,104.131
12/3/20,103.834
12/2/20,104.411
12/1/20,104.312
11/30/20,104.315
11/27/20,104.025
11/26/20,104.257
11/25/20,104.461
11/24/20,104.447
11/23/20,104.497
11/20/20,103.813
11/19/20,103.736
11/18/20,103.827
11/17/20,104.203
11/16/20,104.572
11/13/20,104.592
11/12/20,105.129
11/11/20,105.427
11/10/20,105.28
11/9/20,105.358
11/6/20,103.329
11/5/20,103.46
11/4/20,104.522
11/3/20,104.453
11/2/20,104.688
10/30/20,104.623
10/29/20,104.598
10/28/20,104.317
10/27/20,104.41
10/26/20,104.83
10/23/20,104.681
10/22/20,104.86
10/21/20,104.588
10/20/20,105.495
10/19/20,105.436
10/16/20,105.361
10/15/20,105.422
10/14/20,105.166
10/13/20,105.471
10/12/20,105.34
10/9/20,105.589
10/8/20,106.022
