Date,Mid
4/23/21,48.255
4/22/21,48.361
4/21/21,48.397
4/20/21,48.374
4/19/21,48.368
4/16/21,48.345
4/15/21,48.418
4/14/21,48.495
4/13/21,48.588
4/12/21,48.569
4/9/21,48.537
4/8/21,48.552
4/7/21,48.706
4/6/21,48.539
4/5/21,48.508
4/2/21,48.557
4/1/21,48.597
3/31/21,48.515
3/30/21,48.53
3/29/21,48.458
3/26/21,48.438
3/25/21,48.532
3/24/21,48.596
3/23/21,48.641
3/22/21,48.539
3/19/21,48.498
3/18/21,48.631
3/17/21,48.645
3/16/21,48.669
3/15/21,48.578
3/12/21,48.393
3/11/21,48.405
3/10/21,48.512
3/9/21,48.493
3/8/21,48.702
3/5/21,48.661
3/4/21,48.514
3/3/21,48.5
3/2/21,48.491
3/1/21,48.524
2/26/21,48.631
2/25/21,48.747
2/24/21,48.629
2/23/21,48.638
2/22/21,48.714
2/19/21,48.489
2/18/21,48.566
2/17/21,48.492
2/16/21,48.317
2/15/21,47.938
2/12/21,48.061
2/11/21,48.05
2/10/21,48.061
2/9/21,48.09
2/8/21,48.07
2/5/21,48.115
2/4/21,48.135
2/3/21,48.068
2/2/21,47.923
2/1/21,48.039
1/29/21,48.056
1/28/21,48.065
1/27/21,48.124
1/26/21,48.067
1/25/21,48.054
1/22/21,48.084
1/21/21,48.07
1/20/21,48.036
1/19/21,48.042
1/18/21,48.062
1/15/21,48.022
1/14/21,48.046
1/13/21,48.009
1/12/21,47.996
1/11/21,48.08
1/8/21,48.084
1/7/21,48.123
1/6/21,48.07
1/5/21,48.069
1/4/21,48.04
1/1/21,48.014
12/31/20,48.014
12/30/20,48.038
12/29/20,48.014
12/28/20,48.0475
12/25/20,48.045
12/24/20,48.045
12/23/20,48.06
12/22/20,48.113
12/21/20,48.192
12/18/20,48.078
12/17/20,48.066
12/16/20,48.083
12/15/20,48.076
12/14/20,48.066
12/11/20,48.13
12/10/20,48.13
12/9/20,48.17
12/8/20,48.189
12/7/20,48.185
12/4/20,48.089
12/3/20,48.012
12/2/20,48.042
12/1/20,48.041
11/30/20,48.132
11/27/20,48.18
11/26/20,48.101
11/25/20,48.053
11/24/20,48.172
11/23/20,48.304
11/20/20,48.239
11/19/20,48.331
11/18/20,48.25
11/17/20,48.25
11/16/20,48.179
11/13/20,48.194
11/12/20,48.431
11/11/20,48.547
11/10/20,48.414
11/9/20,48.244
11/6/20,48.179
11/5/20,48.306
11/4/20,48.345
11/3/20,48.301
11/2/20,48.418
10/30/20,48.56
10/29/20,48.417
10/28/20,48.469
10/27/20,48.35
10/26/20,48.38
10/23/20,48.409
10/22/20,48.579
10/21/20,48.483
10/20/20,48.502
10/19/20,48.548
10/16/20,48.646
10/15/20,48.695
10/14/20,48.643
10/13/20,48.744
10/12/20,48.614
10/9/20,48.361
10/8/20,48.49
10/7/20,48.47
10/6/20,48.473
10/5/20,48.388
10/2/20,48.496
10/1/20,48.481
9/30/20,48.476
9/29/20,48.411
9/28/20,48.491
9/25/20,48.474
9/24/20,48.485
9/23/20,48.557
9/22/20,48.48
9/21/20,48.489
9/18/20,48.48
9/17/20,48.471
9/16/20,48.429
9/15/20,48.411
9/14/20,48.46
9/11/20,48.546
9/10/20,48.57
9/9/20,48.627
9/8/20,48.62
9/7/20,48.626
9/4/20,48.585
9/3/20,48.62
9/2/20,48.582
9/1/20,48.598
8/31/20,48.46
8/28/20,48.361
8/27/20,48.569
8/26/20,48.572
8/25/20,48.543
8/24/20,48.513
8/21/20,48.714
8/20/20,48.67
8/19/20,48.62
8/18/20,48.535
8/17/20,48.597
8/14/20,48.665
8/13/20,48.86
8/12/20,48.94
8/11/20,48.917
8/10/20,49.067
8/7/20,49.104
8/6/20,49.1
8/5/20,49.082
8/4/20,49.057
8/3/20,49.12
7/31/20,49.117
7/30/20,49.06
7/29/20,49.069
7/28/20,49.2
7/27/20,49.154
7/24/20,49.332
7/23/20,49.437
7/22/20,49.356
7/21/20,49.282
7/20/20,49.346
7/17/20,49.379
7/16/20,49.51
7/15/20,49.456
7/14/20,49.477
7/13/20,49.431
7/10/20,49.441
7/9/20,49.442
7/8/20,49.502
7/7/20,49.55
7/6/20,49.335
7/3/20,49.477
7/2/20,49.672
7/1/20,49.815
6/30/20,49.76
6/29/20,49.792
6/26/20,49.979
6/25/20,49.984
6/24/20,50.067
6/23/20,50.055
6/22/20,50.129
6/19/20,50.067
6/18/20,50.13
6/17/20,50.08
6/16/20,50.12
6/15/20,50.264
6/12/20,50.301
6/11/20,50.325
6/10/20,49.996
6/9/20,49.961
6/8/20,49.741
6/5/20,49.741
6/4/20,49.911
6/3/20,50.315
6/2/20,50.321
6/1/20,50.305
5/29/20,50.549
5/28/20,50.551
5/27/20,50.612
5/26/20,50.528
5/25/20,50.761
5/22/20,50.827
5/21/20,50.709
5/20/20,50.646
5/19/20,50.667
5/18/20,50.79
5/15/20,50.735
5/14/20,50.53
5/13/20,50.306
5/12/20,50.24
5/11/20,50.37
5/8/20,50.495
5/7/20,50.471
5/6/20,50.635
5/5/20,50.611
5/4/20,50.685
5/1/20,50.57
4/30/20,50.497
4/29/20,50.38
4/28/20,50.591
4/27/20,50.647
4/24/20,50.8
4/23/20,50.7
4/22/20,50.745
4/21/20,50.905
4/20/20,50.75
4/17/20,50.85
4/16/20,51.04
4/15/20,50.68
4/14/20,50.606
4/13/20,50.61
4/10/20,50.521
4/9/20,50.49
4/8/20,50.473
4/7/20,50.43
4/6/20,50.62
4/3/20,50.9
4/2/20,50.71
4/1/20,51.04
3/31/20,50.88
3/30/20,50.926
3/27/20,51.123
3/26/20,50.74
3/25/20,51.02
3/24/20,50.86
3/23/20,51.22
3/20/20,51.23
3/19/20,51.565
3/18/20,51.67
3/17/20,51.73
3/16/20,51.425
3/13/20,51.07
3/12/20,51.32
3/11/20,50.605
3/10/20,50.495
3/9/20,50.55
3/6/20,50.57
3/5/20,50.774
3/4/20,50.637
3/3/20,50.86
3/2/20,50.75
2/28/20,51.1
2/27/20,50.868
2/26/20,51.057
2/25/20,51.07
2/24/20,51.056
2/21/20,50.885
2/20/20,50.828
2/19/20,50.58
2/18/20,50.645
2/17/20,50.57
2/14/20,50.55
2/13/20,50.471
2/12/20,50.545
2/11/20,50.514
2/10/20,50.81
2/7/20,50.895
2/6/20,50.727
2/5/20,50.732
2/4/20,50.726
2/3/20,50.9
1/31/20,51.021
1/30/20,51.051
1/29/20,50.864
1/28/20,50.747
1/27/20,50.885
1/24/20,50.801
1/23/20,51.047
1/22/20,50.97
1/21/20,51.01
1/20/20,50.96
1/17/20,50.92
1/16/20,50.85
1/15/20,50.776
1/14/20,50.655
1/13/20,50.425
1/10/20,50.54
1/9/20,50.67
1/8/20,50.59
1/7/20,50.88
1/6/20,51.096
1/3/20,51.11
1/2/20,50.73
1/1/20,50.71
12/31/19,50.71
12/30/19,50.79
12/27/19,50.82
12/26/19,50.745
12/25/19,50.82
12/24/19,50.82
12/23/19,50.885
12/20/19,50.725
12/19/19,50.63
12/18/19,50.647
12/17/19,50.575
12/16/19,50.63
12/13/19,50.63
12/12/19,50.551
12/11/19,50.776
12/10/19,50.73
12/9/19,50.832
12/6/19,50.8
12/5/19,50.801
12/4/19,50.961
12/3/19,51.088
12/2/19,51.03
11/29/19,50.855
11/28/19,50.8
11/27/19,50.84
11/26/19,50.84
11/25/19,50.81
11/22/19,50.905
11/21/19,50.845
11/20/19,50.915
11/19/19,50.973
11/18/19,50.782
11/15/19,50.575
11/14/19,50.756
11/13/19,50.925
11/12/19,50.818
11/11/19,50.822
11/8/19,50.55
11/7/19,50.505
11/6/19,50.653
11/5/19,50.49
11/4/19,50.58
11/1/19,50.49
10/31/19,50.801
10/30/19,50.89
10/29/19,51.03
10/28/19,51.151
10/25/19,51.21
10/24/19,51.321
10/23/19,51.01
10/22/19,51.186
10/21/19,51.115
10/18/19,51.26
10/17/19,51.335
